id	HomeTeam	AwayTeam	goalHome	goalAway
2001	Bruk-Bet	Pogoń	2	0
2002	Ruch	Wisła K	1	0
2003	Korona	Lechia	2	0
2004	Jagiellonia	Wisła P	1	2
2005	Cracovia	Lech	1	1
2006	Śląsk	Arka	0	2
2007	Legia	Górnik	5	0
2008	Zagłębie	Piast	2	1
2101	Ruch	Cracovia	0	1
2102	Lech	Bruk-Bet	3	0
2103	Wisła K	Korona	2	0
2104	Arka	Legia	0	1
2105	Wisła P	Śląsk	1	1
2106	Lechia	Jagiellonia	3	0
2107	Pogoń	Piast	2	1
2201	Jagiellonia	Górnik	5	0
2202	Bruk-Bet	Lechia	1	1
2203	Korona	Wisła P	4	2
2204	Śląsk	Wisła K	1	0
2205	Piast	Lech	0	3
2206	Cracovia	Pogoń	1	1
2207	Legia	Ruch	1	3
2208	Zagłębie	Arka	1	0
2301	Arka	Korona	4	1
2302	Pogoń	Lech	0	3
2303	Wisła P	Zagłębie	2	1
2304	Lechia	Cracovia	4	2
2305	Wisła K	Jagiellonia	3	1
2306	Górnik	Piast	1	0
2307	Legia	Bruk-Bet	1	1
2308	Ruch	Śląsk	2	0
2401	Korona	Górnik	2	1
2402	Zagłębie	Legia	1	3
2403	Cracovia	Arka	1	1
2404	Bruk-Bet	Ruch	0	0
2405	Piast	Wisła K	1	2
2406	Jagiellonia	Śląsk	4	1
2407	Lech	Lechia	1	0
2408	Pogoń	Wisła P	1	1
2108	Górnik	Zagłębie	0	1
2501	Śląsk	Piast	3	4
2502	Arka	Lech	1	4
2503	Wisła P	Bruk-Bet	1	0
2504	Ruch	Lechia	2	1
2505	Jagiellonia	Korona	4	1
2506	Górnik	Pogoń	2	2
2507	Legia	Wisła K	1	0
2508	Cracovia	Zagłębie	1	1
2601	Bruk-Bet	Śląsk	1	2
2602	Wisła K	Wisła P	3	2
2603	Piast	Arka	3	2
2604	Zagłębie	Ruch	0	1
2605	Pogoń	Jagiellonia	0	0
2606	Korona	Cracovia	3	0
2607	Lech	Górnik	0	0
2608	Lechia	Legia	1	2
2701	Śląsk	Korona	3	0
2702	Wisła K	Lech	0	0
2703	Arka	Górnik	2	4
2704	Wisła P	Cracovia	4	1
2705	Legia	Pogoń	2	0
2706	Jagiellonia	Bruk-Bet	1	0
2707	Lechia	Zagłębie	1	0
2708	Ruch	Piast	0	0
2801	Cracovia	Śląsk	1	0
2802	Zagłębie	Jagiellonia	3	4
2803	Górnik	Wisła P	2	3
2804	Pogoń	Arka	5	1
2805	Bruk-Bet	Wisła K	2	3
2806	Piast	Lechia	1	1
2807	Lech	Legia	1	2
2808	Korona	Ruch	1	0
2901	Ruch	Pogoń	1	2
2902	Śląsk	Górnik	2	2
2903	Jagiellonia	Cracovia	0	0
2904	Wisła P	Lech	0	3
2905	Bruk-Bet	Piast	1	0
2906	Legia	Korona	0	0
2907	Lechia	Arka	2	1
2908	Wisła K	Zagłębie	1	0
3001	Arka	Wisła P		
3002	Cracovia	Legia		
3003	Górnik	Wisła K		
3004	Korona	Bruk-Bet		
3005	Lech	Ruch		
3006	Piast	Jagiellonia		
3007	Pogoń	Lechia		
3008	Zagłębie	Śląsk		
